id	station	city
87009696	Gare de La Douzillère	Joue-Les-Tours
87111864	Gare de Balsieges-Bourg	Balsieges
87116137	Gare de Longueville (S.-et-M.)	Longueville
87116517	Gare de La Ferté-sous-Jouarre	La Ferte-Sous-Jouarre
87116582	Gare de Château-Thierry	Chateau-Thierry
87118000	Gare de Troyes	Saint-Julien-Les-Villas
87118091	Saint-Mesmin Gare SNCF	Saint-Mesmin
87118133	Châtres S. Polyvalente	Chatres
87118158	Gare de Romilly-sur-Seine	Romilly-Sur-Seine
87118190	Gare de Nogent-sur-Seine	Nogent-Sur-Seine
87118257	Gare de Vendeuvre (Aube)	Vendeuvre-Sur-Barse
87118299	Gare de Bar-sur-Aube	Bar-Sur-Aube
87131961	Gare de Brion-Montréal-la-Cluse	Brion
87141002	Gare de Nancy-Ville	Nancy
87141010	Gare de Jarville-la-Malgrange	Jarville-La-Malgrange
87141036	Gare de Foug	Foug
87141044	Gare de Toul	Toul
87141051	Gare de Fontenoy-sur-Moselle	Fontenoy-Sur-Moselle
87141069	Gare de Liverdun	Liverdun
87141077	Gare de Frouard	Frouard
87141085	Gare de Champigneulles	Champigneulles
87141093	Gare de Laneuveville-devt-Nancy	Laneuveville-Devant-Nancy
87141101	Gare de Varangéville-St-Nicolas	Varangeville
87141119	Gare de Dombasle-sur-Meurthe	Dombasle-Sur-Meurthe
87141127	Gare de Rosières-aux-Salines	Dombasle-Sur-Meurthe
87141135	Gare de Blainville-Damelevières	Damelevieres
87141143	Gare de Mont-sur-Meurthe	Mont-Sur-Meurthe
87141150	Gare de Lunéville	Luneville
87141200	Gare de Einvaux	Einvaux
87141218	Gare de Bayon	Virecourt
87141291	Gare de Neufchâteau	Neufchateau
87141374	Gare de St-Clément-Laronxe	Saint-Clement
87141382	Gare de Chenevières	Chenevieres
87141390	Gare de Ménil-Flin	Flin
87141408	Gare de Azerailles	Azerailles
87141416	Gare de Baccarat	Baccarat
87141424	Gare de Bertrichamps	Bertrichamps
87141432	Gare de Thiaville	Thiaville-Sur-Meurthe
87141473	Gare de Houdemont	Houdemont
87141481	Gare de Ludres	Ludres
87141499	Gare de Messein	Messein
87141507	Gare de Neuves-Maisons	Neuves-Maisons
87141523	Gare de Pont-St-Vincent	Pont-Saint-Vincent
87141622	Praye-sous-Vaudémont	Praye
87141788	Gare de Pompey	Pompey
87141796	Gare de Marbache	Marbache
87141804	Gare de Belleville	Belleville
87141812	Gare de Dieulouard	Dieulouard
87141820	Gare de Pont-à-Mousson	Pont-A-Mousson
87142000	Gare de Chaumont	Chaumont
87142091	Gare de Langres	Langres
87142125	Gare de Culmont-Chalindrey	Culmont
87142224	Gare de Bologne	Bologne
87142232	Gare de Vignory	Vignory
87142240	Gare de Froncles	Froncles
87142273	Gare de Donjeux	Donjeux
87143024	Vraincourt-Vieville	Vraincourt
87144006	Gare de Epinal	Epinal
87144014	Gare de St-Dié-des-Vosges	Saint-Die-Des-Vosges
87144030	Docelles-Cheniménil	Chenimenil
87144048	Lépanges	Lepanges-Sur-Vologne
87144055	Gare de Charmes (Vosges)	Charmes
87144063	Gare de Vincey (Vosges)	Portieux
87144071	Gare de Châtel-Nomexy	Nomexy
87144089	Gare de Igney	Igney
87144097	Gare de Thaon	Thaon-Les-Vosges
87144121	Gare de Xertigny	Xertigny
87144147	Gare de Bains-les-Bains	Le Clerjus
87144154	Bruyères (Vosges)	Bruyeres
87144212	Mirecourt	Mirecourt
87144220	Hymont-Mattaincourt	Hymont
87144279	Gare de Vittel	Vittel
87144287	Gare de Contrexéville	Contrexeville
87144295	Martigny-les-Bains	Martigny-Les-Bains
87144303	Lamarche (Vosges)	Lamarche
87144311	Rozières-sur-Mouzon	Rozieres-Sur-Mouzon
87144345	Gare de Provenchères-sur-Fave	Provencheres-Et-Colroy
87144410	Gare de Arches	Arches
87144428	Gare de Pouxeux	Pouxeux
87144436	Gare de Eloyes	Eloyes
87144451	Gare de Remiremont	Remiremont
87144626	Gare de Raon-l'Etape	Raon-L'Etape
87144642	Gare de Etival-Clairefontaine	Etival-Clairefontaine
87144683	Gare de St-Michel-sur-Meurthe	Saint-Michel-Sur-Meurthe
87146217	Gare de St-Nabord	Saint-Nabord
87159947	Gare de Ker Lann	Bruz
87171009	Gare de Reims	Reims
87171272	Gare de Reims-Maison-Blanche	Reims
87171298	Gare de Muizon (PN32)	Muizon
87171314	Gare de Jonchery-sur-Vesle	Jonchery-Sur-Vesle
87171322	Gare de Breuil-Romain	Breuil-Sur-Vesle
87171330	Gare de Fismes	Fismes
87171462	Gare de Bazancourt	Bazancourt
87171512	Gare de Dormans	Dormans
87171553	Gare de Epernay	Epernay
87171561	Gare de Ay	A-Champagne
87171579	Gare de Avenay	Avenay-Val-D'Or
87171587	Gare de Germaine	Germaine
87171595	Gare de Rilly-la-Montagne	Rilly-La-Montagne
87171611	Gare de Val-de-Vesle (Marne)	Val-De-Vesle
87171629	Gare de Prunay	Prunay
87171645	Gare de Sept-Saulx	Sept-Saulx
87171702	Gare de Aguilcourt-Variscourt	Aguilcourt
87171710	Gare de Courcy-Brimont	Courcy
87171728	Gare de Loivre	Loivre
87171736	Gare de Guignicourt (Aisne)	Villeneuve-Sur-Aisne
87171744	Gare de Amifontaine	Amifontaine
87171751	Gare de St-Erme	Saint-Erme-Outre-Et-Ramecourt
87171769	Gare de Coucy-les-Eppes	Coucy-Les-Eppes
87171926	Gare de Champagne-Ardenne	Bezannes
87172007	Gare de Charleville-Mézières	Charleville-Mezieres
87172023	Gare de Nouzonville	Nouzonville
87172031	Gare de Joigny-sur-Meuse	Joigny-Sur-Meuse
87172049	Gare de Bogny-sur-Meuse	Bogny-Sur-Meuse
87172056	Gare de Monthermé	Bogny-Sur-Meuse
87172064	Gare de Deville	Deville
87172072	Gare de Laifour	Laifour
87172080	Gare de Revin	Revin
87172098	Gare de Fumay	Fumay
87172106	Gare de Haybes	Haybes
87172114	Gare de Vireux-Molhain	Vireux-Molhain
87172122	Gare de Aubrives	Aubrives
87172130	Gare de Givet	Givet
87172155	Gare de Mohon	Charleville-Mezieres
87172171	Gare de Poix-Terron	Poix-Terron
87172189	Gare de Lumes-Halte	Lumes
87172213	Gare de Nouvion-sur-Meuse	Nouvion-Sur-Meuse
87172221	Gare de Vrigne-Meuse	Vrigne-Meuse
87172239	Gare de Donchery	Donchery
87172254	Gare de Sedan	Sedan
87172262	Gare de Amagne-Lucquy	Lucquy
87172270	Gare de Rethel	Rethel
87172312	Bazeilles	Bazeilles
87172353	Gare de Carignan	Carignan
87172387	Blagny	Blagny
87172411	Margut-Fromy	Fromy
87172544	Gare de Liart-SNCF	Liart
87172858	Gare de Anchamps	Anchamps
87172874	Gare de Fépin	Fepin
87174003	Gare de Châlons-en-Champagne	Chalons-En-Champagne
87174276	Gare de Vitry-le-François	Vitry-Le-Francois
87174409	Gare de Mourmelon-le-Petit	Mourmelon-Le-Petit
87175000	Gare de St-Dizier	Saint-Dizier
87175018	Gare de Revigny	Revigny-Sur-Ornain
87175042	Gare de Bar-le-Duc	Bar-Le-Duc
87175067	Gare de Nançois-Tronville	Nancois-Sur-Ornain
87175091	Gare de Joinville	Joinville
87175117	Gare de Chevillon	Chevillon
87175133	Bayard	Bayard-Sur-Marne
87175240	Gare de Lérouville	Lerouville
87175257	Gare de Commercy	Commercy
87175778	Gare de Verdun	Verdun
87175794	Gare de Etain	Etain
87175828	Gare de Pagny-sur-Meuse	Pagny-Sur-Meuse
87181016	Gare de St-Louis-la-Chaussée	Saint-Louis
87181040	Gare de Flaxlanden	Zillisheim
87181065	Gare de Walheim	Walheim
87181131	Gare de Graffenwald	Wittelsheim
87181222	Gare de Colmar-St-Joseph	Colmar
87181289	Gare de Vieux-Thann-Zi	Vieux-Thann
87181552	Gare de St-Gilles-L (Haut-Rhin)	Wintzenheim
87182014	Gare de Colmar	Colmar
87182055	Gare de Mulhouse-Dornach	Mulhouse
87182063	Gare de Mulhouse	Mulhouse
87182071	Gare de Rixheim	Rixheim
87182089	Gare de Habsheim	Habsheim
87182105	Gare de Sierentz	Sierentz
87182113	Gare de Bartenheim	Bartenheim
87182139	Gare de St-Louis (Haut-Rhin)	Saint-Louis
87182196	Gare de Zillisheim	Zillisheim
87182204	Gare de Illfurth	Illfurth
87182238	Gare de Altkirch	Altkirch
87182253	Gare de Dannemarie	Dannemarie
87182329	Gare de Herrlisheim-près-Colmar	Herrlisheim-Pres-Colmar
87182337	Gare de Rouffach	Rouffach
87182345	Gare de Logelbach	Wintzenheim
87182352	Gare de Turckheim	Turckheim
87182360	Gare de Walbach-la-Forge	Wintzenheim
87182378	Gare de Wihr-au-Val-Soultzbach	Wihr-Au-Val
87182386	Gare de Gunsbach-Griesbach	Griesbach-Au-Val
87182394	Gare de Munster	Munster
87182402	Gare de Ranspach	Ranspach
87182410	Gare de Cernay (Haut-Rhin)	Cernay
87182543	Gare de Luttenbach-près-Munster	Luttenbach-Pres-Munster
87182550	Gare de Vieux-Thann	Vieux-Thann
87182568	Gare de Thann	Thann
87182576	Gare de Bitschwiller (Ht-Rhin)	Bitschwiller-Les-Thann
87182584	Gare de Willer-sur-Thur	Willer-Sur-Thur
87182592	Gare de Moosch	Moosch
87182600	Gare de St-Amarin	Saint-Amarin
87182618	Gare de Wesserling	Fellering
87182626	Gare de Fellering	Fellering
87182634	Gare de Oderen	Oderen
87182642	Gare de Kruth	Kruth
87182659	Gare de Breitenbach	Breitenbach-Haut-Rhin
87182667	Gare de Lutterbach (Haut-Rhin)	Lutterbach
87182691	Gare de Staffelfelden	Staffelfelden
87182709	Gare de Bollwiller	Bollwiller
87182717	Gare de Raedersheim	Raedersheim
87182725	Gare de Merxheim	Merxheim
87182733	Gare de Muhlbach-sur-Munster	Muhlbach-Sur-Munster
