episode,reward
1004,224.0
1008,211.0
1012,196.0
1016,183.0
1020,170.0
1024,156.0
1028,142.0
1032,128.0
1036,114.0
1040,104.0
1044,91.8
1048,77.0
1052,63.1
1056,49.1
1060,34.0
1064,18.4
1068,3.03
1072,-12.7
1076,-25.5
1080,-39.9
1084,-53.7
1088,-66.4
1092,-81.1
1096,-84.8
1100,-80.3
1104,-80.9
1108,-82.3
1112,-81.8
1116,-82.4
1120,-81.1
1124,-79.1
1128,-76.9
1132,-76.5
1136,-76.5
1140,-77.1
1144,-79.2
1148,-76.4
1152,-74.4
1156,-73.9
1160,-70.2
1164,-69.0
1168,-64.1
1172,-62.6
1176,-62.9
1180,-62.9
1184,-63.6
1188,-64.9
1192,-64.2
1196,-63.1
1200,-65.6
1204,-65.9
1208,-63.0
1212,-63.7
1216,-64.3
1220,-66.6
1224,-68.0
1228,-71.5
1232,-72.7
1236,-72.9
1240,-71.3
1244,-72.2
1248,-74.8
1252,-77.4
1256,-75.3
1260,-77.7
1264,-76.5
1268,-79.8
1272,-80.1
1276,-78.9
1280,-76.8
1284,-75.0
1288,-73.2
1292,-73.1
1296,-69.4
1300,-69.2
1304,-67.6
1308,-67.9
1312,-66.2
1316,-65.3
1320,-64.8
1324,-62.1
1328,-59.1
1332,-58.1
1336,-54.9
1340,-54.7
1344,-52.1
1348,-48.4
1352,-45.6
1356,-45.2
1360,-43.8
1364,-44.7
1368,-43.2
1372,-41.7
1376,-41.0
1380,-43.0
1384,-45.4
1388,-45.3
1392,-46.3
1396,-51.0
1400,-51.2
1404,-51.2
1408,-52.9
1412,-54.7
1416,-54.6
1420,-53.2
1424,-56.4
1428,-56.0
1432,-53.9
1436,-55.3
1440,-55.6
1444,-54.9
1448,-55.9
1452,-57.7
1456,-58.9
1460,-56.7
1464,-53.1
1468,-53.0
1472,-53.0
1476,-50.3
1480,-45.4
1484,-42.8
1488,-44.3
1492,-37.6
1496,-37.2
1500,-34.6
1504,-30.7
1508,-27.7
1512,-24.6
1516,-24.6
1520,-26.5
1524,-24.0
1528,-26.1
1532,-28.3
1536,-26.4
1540,-27.4
1544,-27.9
1548,-26.9
1552,-23.0
1556,-22.3
1560,-23.7
1564,-22.3
1568,-19.9
1572,-16.0
1576,-17.0
1580,-16.9
1584,-15.6
1588,-10.4
1592,-11.8
1596,-10.6
1600,-6.18
1604,-3.87
1608,-3.89
1612,-3.96
1616,-2.38
1620,2.55
1624,1.65
1628,5.9
1632,7.9
1636,8.15
1640,8.9
1644,12.1
1648,12.9
1652,14.1
1656,15.3
1660,20.4
1664,16.5
1668,16.9
1672,17.3
1676,15.5
1680,18.1
1684,21.7
1688,16.7
1692,15.8
1696,16.4
1700,14.4
1704,9.05
1708,8.47
1712,10.0
1716,13.1
1720,12.6
1724,18.6
1728,21.5
1732,26.9
1736,26.4
1740,29.4
1744,27.8
1748,29.0
1752,28.5
1756,29.9
1760,28.0
1764,33.2
1768,32.0
1772,33.6
1776,38.4
1780,36.3
1784,32.7
1788,31.9
1792,33.4
1796,34.9
1800,34.4
1804,39.9
1808,40.8
1812,43.3
1816,42.9
1820,44.3
1824,42.4
1828,38.2
1832,38.6
1836,38.8
1840,41.4
1844,44.9
1848,47.3
1852,50.3
1856,54.8
1860,53.2
1864,51.0
1868,52.1
1872,52.3
1876,47.5
1880,42.7
1884,47.3
1888,53.6
1892,53.9
1896,54.6
1900,55.8
1904,56.4
1908,61.2
1912,58.1
1916,56.9
1920,56.9
1924,52.8
1928,51.5
1932,48.9
1936,47.3
1940,44.0
1944,42.6
1948,40.8
1952,40.1
1956,35.6
1960,35.0
1964,35.2
1968,35.1
1972,34.8
1976,39.8
1980,41.5
1984,41.4
1988,43.5
1992,44.5
1996,48.2
2000,50.8
2004,47.0
2008,44.2
2012,48.1
2016,48.9
2020,48.6
2024,55.9
2028,60.6
2032,60.4
2036,66.6
2040,70.4
2044,68.5
2048,71.3
2052,73.0
2056,73.7
2060,72.3
2064,76.0
2068,76.6
2072,75.2
2076,71.8
2080,74.7
2084,73.3
2088,68.4
2092,68.9
2096,65.9
2100,64.9
2104,67.0
2108,67.7
2112,67.4
2116,65.2
2120,68.1
2124,64.2
2128,61.8
2132,64.0
2136,62.3
2140,63.8
2144,64.0
2148,57.4
2152,53.1
2156,51.2
2160,54.4
2164,53.2
2168,56.1
2172,57.1
2176,61.2
2180,61.1
2184,61.5
2188,65.4
2192,67.3
2196,67.9
2200,69.6
2204,70.6
2208,71.5
2212,71.1
2216,76.6
2220,73.3
2224,73.5
2228,74.3
2232,69.4
2236,66.1
2240,64.2
2244,69.4
2248,69.3
2252,70.0
2256,73.6
2260,71.8
2264,70.2
2268,68.6
2272,67.3
2276,66.4
2280,66.6
2284,63.9
2288,63.9
2292,60.1
2296,60.6
2300,57.1
2304,54.4
2308,55.02
2312,55.65
2316,56.28
2320,56.9
2324,57.53
2328,58.16
2332,58.79
2336,59.41
2340,60.04
2344,60.67
2348,61.3
2352,61.92
2356,62.55
2360,63.18
2364,63.81
2368,64.43
2372,65.06
2376,65.69
2380,66.32
2384,66.94
2388,67.57
2392,68.2
2396,68.83
2400,69.45
2404,70.08
2408,70.71
2412,71.34
2416,71.96
2420,72.4
