episode,reward
4,-107.0
8,-101.0
12,-101.0
16,-102.0
20,-100.0
24,-100.0
28,-99.1
32,-99.3
36,-98.8
40,-99.3
44,-99.3
48,-100.0
52,-100.0
56,-101.0
60,-101.0
64,-101.0
68,-101.0
72,-101.0
76,-101.0
80,-101.0
84,-101.0
88,-101.0
92,-101.0
96,-102.0
100,-102.0
104,-102.0
108,-102.0
112,-102.0
116,-102.0
120,-102.0
124,-103.0
128,-103.0
132,-104.0
136,-104.0
140,-104.0
144,-104.0
148,-103.0
152,-103.0
156,-103.0
160,-105.0
164,-105.0
168,-105.0
172,-106.0
176,-107.0
180,-108.0
184,-109.0
188,-109.0
192,-108.0
196,-108.0
200,-108.0
204,-109.0
208,-109.0
212,-110.0
216,-110.0
220,-112.0
224,-113.0
228,-113.0
232,-114.0
236,-116.0
240,-117.0
244,-118.0
248,-120.0
252,-119.0
256,-117.0
260,-113.0
264,-113.0
268,-116.0
272,-117.0
276,-119.0
280,-119.0
284,-122.0
288,-123.0
292,-123.0
296,-122.0
300,-123.0
304,-123.0
308,-124.0
312,-124.0
316,-124.0
320,-123.0
324,-124.0
328,-125.0
332,-125.0
336,-124.0
340,-122.0
344,-120.0
348,-117.0
352,-118.0
356,-121.0
360,-124.0
364,-127.0
368,-124.0
372,-124.0
376,-122.0
380,-122.0
384,-120.0
388,-123.0
392,-126.0
396,-130.0
400,-132.0
404,-130.0
408,-127.0
412,-126.0
416,-125.0
420,-125.0
424,-124.0
428,-123.0
432,-122.0
436,-123.0
440,-124.0
444,-126.0
448,-127.0
452,-127.0
456,-126.0
460,-125.0
464,-122.0
468,-122.0
472,-121.0
476,-121.0
480,-123.0
484,-124.0
488,-122.0
492,-119.0
496,-117.0
500,-115.0
504,-117.0
508,-119.0
512,-120.0
516,-120.0
520,-118.0
524,-116.0
528,-114.0
532,-111.0
536,-107.0
540,-105.0
544,-102.0
548,-101.0
552,-99.2
556,-97.3
560,-95.2
564,-93.8
568,-92.0
572,-89.6
576,-86.6
580,-83.3
584,-80.4
588,-77.0
592,-76.3
596,-74.8
600,-73.1
604,-72.8
608,-73.0
612,-73.5
616,-73.7
620,-74.9
624,-76.1
628,-77.8
632,-80.8
636,-83.3
640,-84.7
644,-87.2
648,-88.3
652,-89.6
656,-90.6
660,-90.7
664,-91.8
668,-90.3
672,-89.5
676,-88.8
680,-87.9
684,-86.7
688,-84.4
692,-80.7
696,-77.3
700,-74.1
704,-70.0
708,-66.8
712,-62.3
716,-60.1
720,-59.2
724,-56.0
728,-51.8
732,-48.6
736,-45.9
740,-43.0
744,-40.8
748,-37.4
752,-32.3
756,-31.0
760,-30.9
764,-29.3
768,-30.4
772,-31.5
776,-31.6
780,-29.5
784,-27.3
788,-27.3
792,-27.3
796,-26.6
800,-25.9
804,-23.8
808,-19.5
812,-16.3
816,-11.5
820,-4.19
824,0.33
828,3.36
832,6.09
836,7.42
840,6.65
844,5.24
848,2.42
852,-0.592
856,1.33
860,5.77
864,8.35
868,9.75
872,11.4
876,14.9
880,18.2
884,20.4
888,23.9
892,30.5
896,37.5
900,42.0
904,45.0
908,48.2
912,51.6
916,54.8
920,56.8
924,59.3
928,63.4
932,68.2
936,74.8
940,83.9
944,94.2
948,105.0
952,113.0
956,121.0
960,125.0
964,132.0
968,141.0
972,151.0
976,158.0
980,164.0
984,170.0
988,177.0
992,179.0
996,181.0
1000,190.0
